#iteracion,cantidad clocks
1,2860449
2,2736973
3,2733853
4,2800434
5,2742932
6,2671978
7,2668696
8,2671469
9,2667998
10,2801645
11,2774415
12,2861559
13,2745991
14,2670103
15,2671948
16,2802940
17,2735738
18,2732379
19,2708715
20,2667278
21,2668837
22,2821950
23,2732426
24,2727695
25,2668113
26,2669752
27,2669471
28,2854915
29,2733752
30,2720760
31,2669414
32,2668479
33,2667331
34,2831226
35,2735302
36,2717282
37,2670528
38,2671697
39,2668855
40,2811525
41,2735809
42,2708152
43,2670715
44,2669036
45,2670213
46,2844273
47,2738037
48,2703620
49,2667538
50,2670237
51,2670198
52,2728290
53,2667506
54,2671220
55,2666938
56,2671285
57,2666449
58,2689165
59,2668746
60,2668769
61,2669796
62,2669154
63,2668478
64,2711075
65,2668143
66,2670146
67,2795682
68,2743120
69,2773244
70,2762200
71,2757595
72,2668922
73,2669968
74,2669895
75,2715420
76,2666634
77,2670106
78,2669255
79,2841060
80,2670835
81,2690862
82,2671925
83,2670877
84,2671184
85,2672255
86,2673038
87,2715156
88,2668925
89,2671148
90,2670897
91,2671313
92,2672728
93,2690010
94,2671942
95,2670012
96,2678822
97,2670438
98,2671172
99,2688294
100,2671102
