#iteracion,cantidad clocks
1,37478193
2,37374348
3,37616230
4,37358718
5,37125775
6,37063159
7,36978402
8,36614720
9,36632255
10,37035710
11,37529556
12,37365631
13,37639284
14,37593262
15,37611723
16,37718045
17,37679089
18,37353261
19,37170213
20,37320116
21,36899770
22,36603440
23,36608101
24,36613263
25,36594043
26,36591195
27,37134654
28,36795102
29,37070828
30,36627225
31,37033393
32,36632452
33,36801941
34,37470384
35,36896606
36,36570230
37,36603817
38,36591425
39,36591383
40,36590758
41,36627066
42,36568650
43,36601878
44,36607069
45,36588864
46,36779806
47,36912699
48,36682332
49,36570121
50,36792383
51,36632286
52,36631013
53,36589777
54,36598577
55,36612365
56,36589743
57,36594620
58,36629723
59,36602354
60,36592510
61,36594590
62,36634132
63,36649984
64,37674600
65,37941650
66,37917742
67,37674602
68,37744045
69,37697932
70,37659191
71,37820593
72,37756146
73,37653619
74,37733963
75,37712466
76,37761979
77,37567613
78,37933309
79,37940506
80,37837320
81,37979932
82,38111824
83,37240693
84,36571702
85,36631874
86,36594828
87,36617847
88,36597665
89,36608313
90,36601632
91,36780773
92,36593968
93,36601226
94,36595360
95,36593361
96,36625294
97,36592652
98,37712451
99,37951149
100,37953869
