#iteracion,cantidad clocks
1,30901379
2,30204622
3,30724632
4,30018461
5,30334877
6,29968676
7,30413829
8,29921224
9,30225553
10,29793514
11,30020514
12,29792291
13,30126614
14,30085937
15,30627864
16,30085143
17,30094412
18,31064157
19,31883179
20,30471520
21,30055586
22,29838536
23,29443973
24,29697142
25,29870808
26,29754193
27,29873735
28,29723268
29,29704687
30,29548275
31,29961778
32,29229034
33,29586796
34,29456117
35,29242761
36,29247748
37,29226121
38,29281598
39,29218301
40,29620834
41,29202423
42,29219699
43,29238794
44,29225921
45,29293924
46,29236834
47,29371563
48,29245694
49,29314715
50,29251519
51,29219273
52,29283508
53,29462247
54,29379233
55,29219350
56,29419394
57,29242147
58,29223129
59,29262574
60,29214443
61,29359671
62,29216349
63,29468880
64,29291398
65,30198987
66,29624187
67,29329659
68,29441736
69,29220648
70,29700037
71,29376265
72,29449153
73,29343015
74,29258145
75,29381202
76,29222997
77,29366195
78,30199904
79,29809767
80,29754964
81,30059768
82,29245062
83,29217872
84,29243667
85,29221870
86,29290333
87,29401749
88,29413811
89,29196309
90,29258371
91,29219330
92,29259243
93,29294510
94,29217814
95,29322863
96,29233454
97,29257683
98,29216061
99,29223314
100,29268075
