#iteracion,cantidad clocks
1,7674716
2,7015848
3,7120983
4,7030497
5,6996413
6,7105703
7,6931365
8,6953078
9,6929438
10,6980012
11,6928319
12,7275775
13,7136960
14,7096774
15,7283632
16,7127500
17,7255687
18,7145365
19,7143374
20,7001858
21,7059795
22,7046446
23,6948123
24,7173587
25,6928118
26,7174069
27,6971331
28,6957578
29,6931559
30,6955546
31,6933525
32,6931917
33,7002239
34,6933304
35,6956284
36,6931068
37,6981784
38,6933586
39,6930142
40,6950958
41,6931099
42,6981069
43,6931043
44,6956104
45,6933779
46,6930740
47,6994470
48,6933963
49,6954623
50,6930671
51,6979316
52,6932800
53,6929569
54,6958588
55,6926910
56,6975393
57,6930535
58,6956013
59,6924512
60,6977239
61,6932173
62,6933969
63,6968584
64,6932855
65,6983243
66,6929484
67,6954398
68,6939422
69,6932197
70,6958981
71,6929410
72,6992547
73,6932136
74,6975157
75,6938944
76,6932674
77,7004817
78,6931460
79,6949626
80,6932775
81,7112563
82,7041949
83,6932195
84,6958138
85,6932494
86,6953531
87,6932320
88,6983477
89,6927554
90,6955562
91,6929809
92,6937149
93,6982046
94,6934148
95,6957195
96,6934533
97,6978787
98,6927145
99,6932395
100,7106831
