#iteracion,cantidad clocks
1,80630670
2,78528260
3,77995266
4,78641410
5,78465232
6,78005939
7,79752293
8,78032347
9,78186322
10,78076113
11,78056308
12,79863889
13,79620591
14,78406608
15,78058872
16,79137066
17,78502383
18,78194935
19,78290633
20,78044358
21,78183540
22,78158739
23,78025865
24,78297581
25,78017627
26,79686775
27,78435591
28,79242653
29,80612516
30,79328423
31,78429046
32,77989217
33,78384431
34,78153282
35,78050015
36,78125462
37,78022394
38,78010222
39,78332744
40,78183996
41,78167477
42,78386898
43,78047621
44,78241347
45,78092497
46,78292724
47,77980122
48,78032308
49,78231566
50,78008807
51,78156230
52,78016245
53,78018434
54,79324427
55,81786626
56,82291003
57,81710990
58,81786489
59,81524400
60,81479736
61,80941814
62,80830655
63,81145319
64,81312210
65,81484712
66,81637547
67,95104148
68,81094929
69,80647842
70,80558102
71,80730149
72,80524700
73,80618031
74,80609269
75,80238750
76,81532974
77,80977575
78,81039786
79,80674460
80,80613704
81,80697451
82,80440816
83,81054054
84,80218060
85,79340598
86,79230898
87,79947022
88,79141195
89,80352174
90,79084694
91,78202954
92,78491797
93,78329615
94,78177608
95,78234292
96,78097101
97,78092358
98,78160075
99,78591519
100,78279428
