#iteracion,cantidad clocks
1,78705250
2,77983521
3,77950621
4,78566913
5,78463986
6,78141715
7,78796278
8,79016763
9,78658186
10,80346642
11,78959752
12,77967587
13,78154596
14,77981469
15,77956351
16,78251044
17,77989413
18,78010816
19,78857047
20,78358908
21,78236012
22,79334897
23,78846616
24,78374083
25,77982976
26,78014151
27,78223533
28,79536536
29,80668699
30,78341261
31,78038140
32,77996983
33,77960005
34,78394328
35,77941874
36,77969164
37,77952663
38,78777636
39,78287064
40,77998371
41,77951078
42,77987115
43,77958102
44,77952540
45,77946966
46,78005969
47,77966418
48,78859483
49,77995741
50,78012075
51,77960291
52,78177222
53,77963203
54,77988362
55,77971561
56,78477328
57,80533459
58,80187517
59,80537100
60,81118499
61,81459181
62,80536066
63,80569018
64,80492061
65,80497373
66,89347710
67,86837186
68,80131108
69,80055558
70,81122871
71,80751338
72,80415524
73,80443025
74,79802433
75,80137863
76,80379132
77,80255392
78,80390154
79,80422453
80,80232685
81,80298576
82,80338012
83,80030614
84,80273376
85,80109886
86,79607834
87,78464358
88,77966842
89,80171408
90,78858972
91,77990756
92,77969822
93,78006584
94,78193535
95,78732566
96,78239933
97,77992593
98,78361153
99,78150400
100,77982800
