#iteracion,cantidad clocks
1,3914899
2,3669000
3,3674765
4,3655863
5,3650958
6,3716738
7,3659305
8,3657247
9,3653071
10,3752176
11,3686430
12,3662626
13,3675187
14,3563960
15,3750497
16,3639327
17,3567584
18,3567745
19,3736278
20,3678897
21,3566921
22,3567565
23,3671180
24,3659661
25,3641247
26,3571126
27,3569064
28,3752999
29,3666202
30,3578016
31,3572422
32,3726146
33,3659979
34,3611119
35,3568876
36,3567379
37,3765360
38,3649341
39,3567978
40,3569707
41,3593477
42,3842901
43,3667938
44,3618941
45,3591395
46,3575384
47,3564668
48,3566610
49,3586819
50,3620610
51,3570222
52,3563601
53,3564975
54,3588751
55,3570999
56,3569685
57,3566923
58,3566392
59,3615027
60,3574774
61,3568456
62,3566491
63,3589946
64,3574463
65,3566119
66,3571017
67,3570147
68,3591287
69,3573997
70,3562737
71,3567371
72,3613730
73,3574204
74,3564399
75,3566497
76,3564233
77,3588183
78,3570060
79,3566211
80,3576748
81,3616758
82,3573683
83,3567069
84,3564948
85,3561513
86,3595312
87,3571875
88,3565303
89,3565532
90,3614098
91,3573486
92,3568192
93,3565677
94,3565112
95,3624270
96,3571639
97,3638892
98,3654746
99,3703302
100,3641285
