#iteracion,cantidad clocks
1,55569308
2,55992280
3,55526889
4,55519517
5,54615439
6,54541925
7,55537485
8,56294530
9,56485772
10,55801882
11,56298442
12,55867870
13,55506117
14,54821141
15,54677834
16,54523369
17,54557093
18,54516552
19,54514060
20,54722317
21,54509546
22,54553549
23,55191422
24,54606500
25,54550973
26,54513326
27,54590043
28,54508626
29,54514786
30,55206040
31,55291423
32,54794068
33,54524551
34,54516503
35,54557787
36,54519150
37,54554187
38,54633218
39,54546573
40,54555203
41,54682085
42,55505284
43,55104393
44,55685861
45,55975295
46,55859827
47,55797998
48,55840983
49,55843928
50,56066069
51,56027568
52,56045956
53,56167844
54,55875274
55,55154758
56,54518211
57,54950383
58,54514422
59,54523615
60,54684191
61,54544232
62,54736814
63,55762251
64,55899145
65,55812680
66,55826310
67,55801977
68,56225975
69,56229145
70,56163678
71,56211968
72,56345805
73,56274525
74,56154602
75,56294608
76,55374984
77,55370191
78,54531707
79,54550596
80,55033444
81,55333944
82,56175050
83,56104400
84,56116008
85,56343802
86,56819680
87,56265433
88,56036580
89,56137038
90,56421629
91,56266879
92,56126127
93,56206228
94,56468927
95,56659806
96,56210067
97,56048995
98,55974595
99,55714947
100,56181473
