#iteracion,cantidad clocks
1,39909949
2,39846536
3,39638037
4,39157883
5,39123285
6,39087713
7,39120120
8,39094420
9,39471948
10,39828924
11,40404565
12,41318877
13,41112038
14,40235308
15,41152510
16,40027210
17,41254743
18,39831878
19,39701786
20,39370960
21,39391777
22,39123574
23,39100737
24,39078403
25,39295486
26,39094933
27,39093507
28,39103706
29,39551757
30,39108827
31,39091519
32,39104709
33,39108623
34,39133344
35,39055633
36,39100328
37,39131303
38,39089195
39,39092026
40,39080905
41,39120343
42,39077761
43,39092782
44,39104176
45,39095589
46,39092721
47,39100059
48,39101751
49,39084765
50,39128457
51,39109705
52,39055828
53,39087550
54,39077822
55,39107939
56,39325300
57,39401382
58,40166127
59,39754716
60,39215624
61,39622279
62,40454873
63,39151573
64,39114971
65,39083730
66,39118894
67,39089215
68,39183306
69,39259062
70,39124591
71,39088949
72,39085857
73,39145243
74,39258327
75,39097492
76,39091251
77,39126029
78,39058130
79,39145027
80,39099631
81,39261057
82,39103485
83,39102410
84,39120902
85,39372642
86,39184153
87,39062561
88,39105303
89,39100444
90,39127710
91,39098643
92,39083026
93,39117578
94,39105081
95,39110232
96,39083442
97,39093559
98,39336948
99,39075336
100,39138188
