#iteracion,cantidad clocks
1,2738394
2,2662609
3,2662357
4,2764502
5,2662318
6,2695342
7,2701086
8,2599738
9,2668223
10,2723917
11,2662347
12,2662157
13,2674249
14,2662202
15,2661786
16,2754244
17,2663103
18,2661568
19,2663024
20,2662567
21,2662169
22,2722289
23,2662521
24,2662334
25,2698268
26,2672198
27,2754886
28,2687453
29,2599902
30,2599125
31,2600195
32,2600703
33,2600251
34,2755370
35,2669285
36,2695127
37,2790683
38,2668042
39,2776839
40,2668484
41,2640582
42,2600644
43,2599483
44,2601145
45,2601051
46,3054124
47,2801453
48,2706580
49,2599560
50,2599834
51,2669976
52,2860357
53,2802037
54,2708592
55,2693911
56,2738702
57,2863388
58,2776319
59,2788974
60,2701117
61,2690681
62,2724387
63,2741324
64,2663288
65,2664306
66,2921040
67,2679284
68,2642207
69,2764504
70,2668221
71,2659255
72,2599948
73,2600691
74,2600151
75,2760590
76,2666205
77,2705434
78,2601954
79,2599699
80,2599759
81,2682875
82,2663547
83,2666621
84,2600753
85,2600834
86,2601120
87,2775586
88,2661582
89,2669463
90,2600149
91,2599456
92,2600621
93,2621096
94,2600365
95,2600494
96,2600263
97,2601202
98,2600667
99,2618217
100,2599975
