#iteracion,cantidad clocks
1,26021674
2,26044199
3,26026262
4,25589906
5,26025698
6,25528959
7,26011211
8,25832920
9,25905710
10,25970506
11,25621734
12,25695422
13,25679587
14,25394950
15,25550262
16,25308405
17,25605400
18,25307231
19,25275180
20,25321381
21,25473274
22,25462741
23,25806092
24,25494599
25,25531967
26,25585352
27,25597431
28,25576567
29,25493768
30,25715145
31,25555237
32,25781554
33,25365179
34,25534989
35,25333366
36,25291677
37,25318051
38,25303852
39,25333313
40,25306769
41,25329933
42,25328595
43,25270128
44,25484299
45,25412575
46,25581922
47,25284853
48,25295063
49,25291052
50,25292442
51,25345257
52,25309299
53,25325027
54,25306698
55,25266404
56,25359699
57,25290617
58,25309314
59,25303400
60,25289865
61,25496036
62,25265948
63,25303537
64,25292233
65,25333205
66,25496810
67,25291544
68,25315710
69,25290881
70,25327363
71,25268345
72,25332669
73,25304508
74,25291089
75,25317912
76,25268282
77,25327864
78,25305359
79,25325528
80,25284178
81,25290903
82,25322105
83,25270702
84,25337808
85,25302506
86,25472418
87,25295803
88,25290086
89,25325805
90,25269336
91,25835081
92,25638815
93,25669267
94,25757776
95,25715379
96,25768720
97,25864321
98,25352828
99,25316657
100,25276451
