#iteracion,cantidad clocks
1,23924902
2,23719101
3,23924058
4,23981303
5,23738850
6,23959807
7,23653980
8,23407324
9,23387612
10,23332012
11,23319294
12,23320107
13,23361664
14,23475849
15,24028045
16,23668989
17,23828900
18,23552235
19,23616868
20,23545373
21,23354347
22,23330694
23,23361934
24,23344924
25,23873797
26,23700267
27,23645347
28,23698436
29,23588103
30,23820723
31,23573707
32,23778666
33,23583500
34,23769496
35,23573831
36,23721811
37,23389849
38,23347632
39,23326212
40,23361111
41,23310254
42,23565851
43,23304827
44,23320879
45,23340672
46,23347473
47,23319941
48,23346497
49,23325006
50,23344747
51,23547750
52,23292670
53,23357209
54,23292623
55,23687475
56,23854266
57,23700441
58,23767397
59,23564653
60,23377305
61,23347430
62,23364804
63,23322616
64,23355096
65,23344765
66,23357499
67,23294176
68,23344519
69,23336268
70,23490733
71,23392547
72,23490358
73,23321404
74,23351408
75,23367475
76,23293441
77,23357160
78,23313217
79,23321511
80,23337331
81,23381698
82,23313220
83,23352207
84,23348345
85,23321646
86,23397660
87,23321976
88,23357809
89,23311902
90,23320420
91,23359911
92,23390054
93,23313594
94,23342413
95,23348887
96,23322671
97,23608844
98,23327546
99,23667587
100,23858158
