#iteracion,cantidad clocks
1,7217672
2,6805549
3,7062630
4,6705266
5,6730335
6,6706128
7,6756611
8,6716291
9,6705361
10,6895757
11,6749177
12,6809339
13,6705937
14,6704591
15,6728347
16,6705838
17,6754942
18,6704325
19,6727990
20,6705539
21,6705603
22,6803802
23,6705203
24,6729983
25,6704911
26,6784319
27,6705205
28,6717762
29,6760729
30,6705867
31,6757148
32,6855061
33,6705532
34,6728030
35,6704634
36,6727282
37,6716501
38,6753653
39,6704848
40,6706833
41,6727741
42,6753253
43,6752251
44,6811876
45,7109685
46,6852123
47,6709306
48,6958898
49,6759262
50,6940098
51,6846575
52,6802212
53,7149617
54,7056736
55,7115883
56,6995826
57,7052242
58,8049559
59,7137509
60,7230604
61,8823690
62,6937258
63,7176665
64,8673483
65,8393646
66,7272403
67,7150003
68,7139896
69,6908291
70,7418917
71,7927654
72,6983564
73,7027289
74,7244837
75,7279744
76,7034639
77,7061007
78,6850227
79,7165738
80,7006457
81,7159053
82,6870789
83,6999859
84,7269596
85,6874204
86,7063098
87,6709167
88,6963875
89,7099158
90,6961194
91,6815163
92,6706599
93,7012862
94,6723526
95,6768038
96,6706006
97,6870952
98,6817936
99,6828807
100,6766754
