#iteracion,cantidad clocks
1,66676138
2,66415392
3,67054031
4,66302964
5,66639378
6,66358997
7,66282429
8,67372093
9,66969843
10,66509589
11,66286874
12,66246814
13,66258519
14,66340083
15,66255988
16,66272457
17,66327471
18,66563515
19,67103481
20,67620661
21,67106621
22,66313485
23,66293105
24,66247233
25,66260630
26,66274660
27,66279832
28,66293595
29,66226887
30,66317224
31,66282284
32,66229000
33,66873582
34,68074539
35,67363466
36,66589708
37,66262849
38,66258991
39,66281924
40,66260939
41,66259096
42,66298763
43,66272940
44,67396501
45,66761863
46,66262749
47,66265421
48,66257288
49,67749767
50,66954820
51,67010373
52,66473992
53,66318366
54,66259363
55,66290367
56,66227220
57,66303074
58,66276150
59,66294709
60,66292028
61,66232839
62,66261853
63,66241095
64,66280498
65,66547871
66,67211290
67,68563700
68,68481513
69,69199915
70,69361839
71,69216995
72,69115536
73,68714960
74,68918510
75,69057991
76,68612302
77,68659724
78,68595039
79,68952608
80,68579423
81,68075456
82,68365645
83,67901954
84,68139780
85,67832059
86,68099329
87,68325241
88,68177543
89,67860453
90,67979601
91,68222591
92,68176697
93,68158665
94,68024583
95,68093095
96,68073868
97,68568222
98,68465230
99,68215305
100,67543319
