#iteracion,cantidad clocks
1,62645094
2,61381217
3,61278718
4,61557787
5,61582775
6,61573110
7,61315599
8,61358837
9,62568328
10,62214776
11,62145329
12,61371095
13,61710786
14,62487490
15,62365851
16,62513584
17,61409810
18,61465651
19,61312650
20,61323633
21,61315922
22,61386470
23,61274015
24,61315196
25,61305798
26,61312984
27,61748341
28,61322646
29,61328639
30,61332264
31,61319339
32,61295032
33,61342697
34,61387171
35,61346306
36,62685514
37,62509184
38,61601402
39,61328940
40,61299441
41,61308853
42,61322278
43,61321516
44,61293406
45,61349810
46,61284366
47,61483887
48,61302274
49,61340131
50,61376373
51,61316498
52,61282371
53,61293808
54,61413050
55,61313477
56,61335424
57,61293528
58,61336656
59,61298218
60,61343757
61,61973976
62,62753880
63,62313447
64,62154485
65,63132968
66,62812726
67,62304998
68,62428707
69,62218763
70,62188687
71,61739967
72,63734515
73,63931019
74,63602049
75,64252530
76,64284650
77,63527838
78,63571393
79,63970144
80,63632954
81,64191665
82,64085918
83,63776680
84,64062429
85,63898386
86,63307241
87,63335528
88,62967140
89,62639047
90,63433763
91,62962454
92,62720427
93,62520268
94,63412446
95,63058884
96,63032284
97,63436220
98,63111251
99,62656840
100,62835925
