#iteracion,cantidad clocks
1,3734713
2,3565200
3,3703390
4,3564129
5,3560600
6,3559166
7,3671932
8,3648376
9,3549894
10,3479171
11,3636638
12,3596241
13,3564112
14,3477184
15,3476288
16,3644495
17,3594670
18,3477427
19,3617295
20,3716759
21,3574364
22,3478407
23,3478325
24,3477289
25,3563458
26,3485317
27,3479143
28,3477952
29,3477859
30,3640780
31,3564808
32,3476095
33,3476605
34,3630881
35,3567145
36,3515299
37,3477122
38,3492785
39,3500867
40,3480404
41,3476371
42,3476878
43,3497082
44,3482023
45,3477687
46,3586012
47,3574454
48,3540691
49,3484294
50,3476226
51,3477142
52,3497454
53,3482748
54,3494447
55,3479706
56,3476442
57,3498797
58,3481140
59,3476944
60,3476077
61,3475979
62,3525547
63,3482155
64,3475843
65,3476237
66,3533329
67,3490203
68,3478840
69,3476437
70,3477059
71,3527523
72,3483805
73,3476240
74,3476003
75,3497893
76,3481420
77,3477841
78,3476880
79,3475511
80,3497207
81,3482305
82,3477027
83,3474915
84,3476345
85,3526135
86,3481525
87,3476259
88,3476696
89,3497192
90,3482321
91,3476841
92,3476325
93,3476083
94,3498405
95,3481401
96,3476769
97,3475366
98,3520289
99,3584921
100,4012382
