#iteracion,cantidad clocks
1,82054849
2,81969255
3,81979857
4,82201656
5,82281157
6,83426492
7,83938276
8,83643254
9,81997898
10,81923694
11,81880139
12,81877012
13,81881804
14,81858233
15,81898874
16,82037965
17,81922395
18,81837196
19,82156352
20,81901409
21,82003649
22,81980571
23,81883971
24,81885289
25,81867972
26,82028237
27,82280169
28,81872746
29,81870111
30,81889834
31,81872735
32,81874760
33,81880607
34,81912414
35,81875864
36,81897487
37,81863477
38,82011589
39,81865765
40,81970694
41,81864189
42,81890125
43,81870753
44,82020258
45,82102523
46,81900449
47,81868623
48,81926502
49,81869250
50,81870211
51,81893138
52,81874680
53,81951941
54,82786035
55,83390005
56,83297566
57,84235127
58,84505348
59,85174928
60,84894439
61,84224075
62,84201759
63,84265609
64,84472320
65,84328425
66,82814813
67,83587656
68,82802201
69,82890411
70,82905596
71,84363737
72,82522620
73,82623047
74,82874786
75,83696384
76,84156197
77,82821790
78,83389398
79,83668766
80,83584218
81,83290838
82,82453667
83,81914659
84,81917784
85,82036223
86,82147769
87,82047118
88,81899468
89,82096521
90,81878034
91,81873471
92,81902839
93,81872834
94,81850538
95,81901248
96,81904154
97,81979046
98,81871078
99,81922239
100,81992265
