#iteracion,cantidad clocks
1,32613871
2,32206735
3,31928711
4,31917180
5,32015965
6,31967017
7,31648426
8,31597824
9,31635080
10,31642657
11,31738070
12,32498660
13,32711734
14,32734958
15,32859848
16,32383900
17,32417863
18,32519612
19,32392425
20,32437097
21,32269665
22,32145579
23,32099804
24,32126401
25,32132511
26,31940333
27,31650951
28,31664713
29,31638335
30,31636267
31,31637825
32,31596641
33,32112586
34,31738128
35,31718619
36,31680177
37,31634174
38,31618683
39,31637745
40,31637997
41,31647812
42,31638394
43,31636137
44,31682994
45,31617869
46,31635038
47,31637863
48,31635211
49,31665492
50,31643419
51,31637234
52,31632895
53,31640081
54,31639423
55,31633486
56,31820298
57,31630691
58,31632738
59,31635575
60,31643815
61,31633207
62,31632279
63,31634395
64,31648887
65,31637740
66,31639147
67,31634627
68,31594416
69,31687394
70,31637631
71,31633558
72,32383175
73,32391905
74,32088961
75,31712917
76,31646401
77,31618490
78,31639354
79,31653415
80,31652267
81,31638518
82,31639468
83,31642893
84,31656656
85,31613622
86,31637514
87,31635516
88,31648968
89,31641939
90,31637488
91,31635809
92,31644965
93,31666529
94,31640269
95,31641118
96,32042171
97,32291895
98,32494242
99,32453593
100,32564443
