#iteracion,cantidad clocks
1,1817846
2,1861936
3,1746176
4,1743261
5,1748461
6,1747379
7,1743113
8,1743241
9,1799714
10,1774476
11,1853483
12,1749031
13,1744143
14,1751927
15,1703522
16,1703208
17,1703552
18,1703818
19,1703261
20,1881340
21,1746870
22,1744736
23,1761066
24,1703527
25,1703634
26,1703356
27,1703230
28,1772854
29,1830686
30,1746756
31,1739341
32,1757991
33,1744304
34,1744250
35,1744035
36,1744113
37,1794561
38,1820980
39,1750930
40,1745203
41,1703618
42,1703423
43,1703347
44,1703990
45,1703059
46,1702902
47,1703647
48,1884951
49,1746283
50,1743991
51,1744536
52,1702813
53,1704256
54,1703188
55,1703087
56,1743925
57,1853475
58,1747710
59,1744037
60,1753825
61,1703689
62,1703691
63,1703545
64,1703220
65,1703648
66,1769824
67,1705547
68,1703400
69,1703867
70,1703248
71,1703462
72,1703972
73,1703470
74,1703455
75,1746788
76,1846717
77,2053021
78,1778225
79,1710997
80,1772158
81,1743647
82,1744533
83,1744167
84,1771544
85,1741110
86,1704622
87,1704986
88,1703728
89,1703880
90,1703231
91,1703331
92,1703778
93,1703541
94,1724811
95,1704248
96,1703120
97,1703536
98,1703895
99,1703270
100,1703414
