#iteracion,cantidad clocks
1,12103960
2,12180660
3,12285623
4,12318221
5,12303096
6,12126860
7,12207028
8,12248546
9,12030323
10,12175468
11,12226018
12,12078832
13,12011579
14,12403994
15,11996501
16,11984145
17,12220157
18,12079961
19,11946943
20,12156649
21,12117964
22,12269158
23,12359247
24,12252763
25,12009723
26,11924898
27,11994521
28,11955465
29,11933594
30,12104288
31,12357938
32,12137586
33,12110977
34,12070384
35,12220775
36,12280208
37,12179380
38,12219462
39,12174190
40,13575145
41,12365069
42,16076078
43,12357610
44,12947833
45,12206804
46,12405264
47,12277219
48,12477053
49,12281587
50,12305154
51,12280843
52,12291304
53,12365249
54,12391126
55,12131405
56,11996572
57,12326147
58,12284732
59,12145013
60,12072495
61,12074932
62,12169397
63,12166472
64,11946396
65,11922734
66,11964249
67,11932099
68,12009774
69,11924450
70,11942854
71,11966368
72,12110634
73,12143415
74,12038721
75,11961522
76,11928325
77,11981999
78,11958017
79,12121374
80,12117621
81,11962229
82,12144434
83,12032583
84,12110228
85,12038665
86,11965015
87,11942576
88,11926948
89,11965649
90,11942132
91,12039842
92,11925534
93,11917981
94,11966256
95,11935333
96,11970629
97,12035505
98,11966870
99,11943969
100,11923101
