#iteracion,cantidad clocks
1,12377718
2,12175943
3,12258347
4,12338916
5,12284637
6,12308805
7,12228613
8,12406878
9,12288081
10,12116449
11,12286435
12,12422918
13,12489604
14,12374709
15,12466241
16,12226178
17,12248529
18,12321161
19,12290941
20,12222800
21,12285384
22,12304624
23,12302719
24,12224760
25,12343346
26,12270149
27,12582785
28,12299249
29,12668494
30,13548133
31,14439955
32,13745024
33,13881560
34,13179630
35,12139282
36,12337455
37,12255112
38,12216099
39,12054584
40,12320271
41,12283722
42,12312690
43,12232359
44,12317337
45,12290107
46,13013550
47,12334544
48,12286511
49,12300414
50,12287908
51,12394011
52,12025226
53,12221555
54,12228213
55,12313081
56,12060891
57,12211181
58,12223670
59,12104709
60,12150120
61,12033041
62,12033452
63,12006214
64,11934662
65,12087794
66,11991508
67,11954266
68,11932653
69,11948217
70,11973117
71,11953144
72,11931951
73,11976135
74,11950742
75,11983114
76,11931951
77,11986914
78,11974010
79,12033669
80,11941406
81,11986617
82,12269550
83,11987897
84,11937076
85,11952244
86,11957969
87,11983431
88,11932216
89,11954864
90,12216474
91,11949844
92,11931738
93,11947956
94,12011317
95,11957053
96,11933195
97,11970498
98,11953403
99,12055631
100,12032046
