#iteracion,cantidad clocks
1,5028942
2,4336254
3,4329543
4,4292397
5,4292338
6,4291805
7,4358230
8,4294009
9,4291374
10,4347542
11,4302789
12,4292410
13,4291948
14,4315776
15,4291617
16,4292637
17,4821075
18,4595918
19,4297776
20,4292426
21,4357464
22,4296434
23,4292221
24,4292175
25,4329863
26,4293771
27,4294134
28,4291868
29,4383111
30,4296695
31,4292569
32,4291685
33,4318126
34,4292366
35,4306468
36,4314731
37,4292777
38,4292017
39,4292892
40,4344179
41,4292539
42,4291767
43,4292315
44,4316509
45,4292370
46,4291913
47,4313854
48,4292355
49,4292851
50,4292601
51,4340343
52,4292096
53,4292234
54,4291615
55,4314611
56,4292455
57,4292127
58,4292291
59,4339811
60,4292462
61,4292251
62,4364545
63,4293736
64,4292263
65,4292335
66,4344007
67,4292623
68,4291967
69,4618575
70,6051276
71,6402563
72,6036498
73,5802450
74,5950081
75,5863554
76,5225620
77,4618422
78,4506342
79,4761875
80,4347165
81,4306039
82,4638399
83,4479799
84,4423339
85,4528538
86,4631231
87,4786449
88,4780995
89,4598850
90,4499984
91,4506109
92,4533349
93,4766165
94,4941827
95,4549900
96,4620990
97,4410546
98,4291664
99,4411094
100,4420284
