#iteracion,cantidad clocks
1,28636562
2,28102975
3,27771353
4,27789899
5,27792214
6,27777103
7,27829104
8,28015067
9,27790531
10,27739468
11,28004769
12,28295948
13,28304171
14,27785996
15,27784569
16,27787421
17,27839293
18,27940145
19,28269617
20,28074337
21,28065513
22,27973670
23,28058186
24,28044828
25,27954236
26,28120147
27,27809472
28,27801530
29,27792047
30,27774025
31,27789838
32,27791108
33,27747986
34,27788809
35,28143515
36,28572123
37,28016700
38,27803445
39,27803459
40,27800435
41,27765679
42,27786923
43,27791992
44,27794654
45,27790270
46,27796345
47,27800465
48,27737479
49,27835252
50,27773073
51,28071756
52,27755831
53,27793965
54,27853704
55,27798966
56,27790545
57,27805640
58,27963258
59,28056866
60,27750333
61,27867153
62,27834340
63,27798336
64,27823545
65,27792333
66,27795625
67,27743521
68,27782899
69,27824457
70,27769987
71,27789238
72,27792502
73,27784821
74,27767803
75,27757026
76,27790854
77,27822411
78,28047687
79,27999948
80,28526862
81,28473096
82,28283903
83,27895815
84,28033713
85,27829343
86,27825630
87,27734129
88,27788488
89,27774651
90,27926303
91,27799302
92,27774992
93,27792794
94,27809296
95,28053539
96,27773043
97,27789300
98,27813696
99,27776220
100,28016194
