#iteracion,cantidad clocks
1,28231065
2,27794932
3,28053093
4,27731465
5,28317340
6,28313104
7,28261124
8,28364505
9,28262982
10,28277657
11,28170943
12,28186570
13,28042184
14,28003828
15,27828502
16,28285057
17,28655973
18,28238943
19,28536801
20,27968522
21,28222574
22,27772727
23,27769964
24,27779336
25,27775161
26,27791185
27,27775917
28,27756746
29,28331764
30,28138969
31,28047183
32,27973554
33,27789266
34,27784540
35,27769835
36,27775732
37,27776760
38,27774239
39,27724650
40,27824479
41,27813131
42,27774220
43,27750841
44,27784458
45,27784930
46,27773885
47,27925200
48,27788479
49,27774127
50,27753521
51,27959072
52,27773363
53,27773340
54,27726574
55,27776120
56,27777621
57,27770461
58,27755685
59,27775844
60,27786833
61,27831534
62,27766716
63,27757414
64,27772043
65,27752370
66,27772137
67,27957481
68,27804470
69,27781036
70,27769979
71,27766677
72,27959053
73,27774952
74,27866826
75,27776226
76,27857397
77,28541286
78,28646127
79,28289831
80,28174944
81,28079088
82,28079684
83,27750467
84,27772912
85,27759970
86,27859155
87,27916619
88,27725295
89,27772181
90,27764893
91,28005267
92,27770971
93,27777105
94,27776322
95,27772869
96,27721857
97,27782193
98,27778403
99,27717421
100,27820250
