#iteracion,cantidad clocks
1,2491435
2,2400996
3,2340739
4,2365335
5,2280239
6,2281126
7,2280148
8,2280876
9,2426213
10,2341238
11,2360181
12,2280568
13,2280693
14,2280239
15,2280725
16,2401690
17,2527753
18,2365781
19,2279827
20,2278971
21,2280404
22,2279553
23,2441783
24,2340028
25,2344883
26,2279404
27,2279523
28,2279086
29,2279821
30,2416909
31,2338492
32,2338937
33,2279568
34,2279799
35,2349048
36,2333411
37,2412990
38,2323291
39,2279852
40,2280110
41,2279507
42,2280207
43,2279673
44,2461450
45,2338708
46,2402566
47,2281451
48,2279888
49,2280116
50,2689201
51,2349028
52,2360176
53,2279403
54,2279602
55,2278930
56,2279396
57,2303305
58,2285389
59,2280311
60,2280088
61,2278680
62,2279706
63,2279715
64,2330387
65,2287167
66,2282423
67,2279731
68,2280053
69,2280042
70,2279680
71,2301704
72,2285051
73,2281410
74,2279482
75,2314575
76,2282712
77,2279781
78,2328314
79,2287372
80,2353049
81,2281937
82,2279329
83,2279235
84,2279910
85,2301566
86,2285940
87,2280130
88,2280147
89,2278975
90,2279456
91,2278981
92,2327640
93,2286917
94,2281372
95,2279807
96,2279319
97,2279376
98,2279600
99,2302050
100,2285053
