#iteracion,cantidad clocks
1,14480454
2,14149867
3,13902719
4,14124488
5,13835836
6,13932997
7,14087325
8,13726867
9,13908562
10,13744064
11,13959858
12,13744616
13,13697737
14,13725619
15,13661702
16,13689788
17,13671113
18,13654014
19,13793281
20,13684884
21,13660622
22,13701105
23,13675685
24,13757378
25,13693588
26,13895104
27,13945574
28,13934095
29,13954397
30,14164009
31,14183327
32,14748042
33,13862015
34,14050410
35,14280508
36,14034091
37,14780879
38,14038963
39,14097514
40,14243435
41,14226094
42,14095782
43,14088053
44,14086932
45,14283108
46,13930728
47,14211016
48,14118914
49,14123051
50,13809207
51,13642999
52,14018456
53,13761351
54,13904602
55,13956929
56,13780490
57,13846642
58,13754563
59,13725049
60,14052309
61,13659674
62,13844922
63,13735218
64,13729832
65,13632362
66,13661306
67,13743109
68,13665461
69,13679168
70,13667987
71,13655223
72,13687788
73,13686970
74,13664507
75,13682160
76,13854972
77,13820800
78,13717581
79,13635197
80,13689294
81,13732282
82,13672801
83,13705880
84,13650303
85,13653971
86,13677820
87,13683350
88,13702824
89,13702170
90,13744392
91,13876016
92,13717972
93,13645056
94,13663957
95,13653987
96,13829211
97,13670286
98,13715785
99,13659294
100,13664457
