#iteracion,cantidad clocks
1,14237957
2,14813681
3,13934902
4,14230748
5,14072626
6,13941743
7,14605205
8,14108484
9,14391700
10,14447044
11,14633282
12,14195944
13,14233411
14,13899453
15,14015181
16,14829782
17,13920146
18,14078386
19,13966433
20,14193606
21,14386838
22,14028556
23,14121314
24,14040994
25,14438680
26,14024371
27,14056785
28,14137862
29,14047942
30,14125156
31,14142126
32,13972465
33,14072814
34,14003343
35,14115126
36,14017598
37,14034785
38,14307038
39,14148135
40,14087383
41,14054448
42,13879470
43,14024130
44,16688194
45,17351459
46,17000913
47,17035920
48,14475604
49,13933170
50,13938500
51,13739277
52,13678050
53,13717692
54,13865996
55,13875434
56,13697324
57,13856766
58,13933066
59,13931392
60,13810931
61,13668136
62,13975556
63,13751401
64,13940754
65,13717754
66,16159250
67,32276569
68,31258083
69,13702961
70,13679349
71,13651626
72,13682253
73,13671245
74,13693121
75,13663115
76,13703961
77,13707369
78,13634021
79,13757566
80,13690234
81,13661273
82,13659791
83,13697150
84,13680252
85,13664388
86,13709408
87,13663528
88,13686582
89,13659375
90,13682088
91,13631159
92,13650834
93,13677389
94,13788239
95,13797357
96,13751314
97,13763880
98,13669581
99,13724627
100,13946360
