#iteracion,cantidad clocks
1,8269819
2,8873427
3,8967649
4,8009472
5,7739099
6,8704210
7,8775837
8,7606720
9,7579548
10,8067117
11,8987096
12,8362172
13,7718793
14,7830007
15,7606166
16,7426996
17,7554089
18,7205089
19,7927782
20,8806523
21,9097666
22,8762631
23,8642740
24,7463912
25,7652681
26,7331721
27,7466140
28,8400750
29,9011209
30,7736234
31,7418905
32,7847260
33,8824164
34,8474667
35,7789267
36,7276218
37,8474223
38,8946827
39,7547164
40,7243744
41,7780455
42,8726584
43,9065900
44,7652539
45,7683453
46,8845366
47,8267757
48,7576053
49,7569771
50,8542774
51,8962413
52,8391653
53,7828534
54,7697139
55,7693852
56,7217260
57,7626552
58,7465319
59,7664819
60,7499908
61,8158840
62,9154143
63,8884151
64,8819383
65,8265457
66,8507617
67,8759084
68,7842396
69,7469480
70,7465186
71,8656195
72,8988724
73,7975049
74,7528022
75,7752991
76,8882063
77,8565925
78,7813236
79,7442518
80,7634909
81,7698647
82,7433988
83,7420910
84,7827471
85,8793548
86,8865312
87,8778909
88,8287050
89,7791853
90,7440890
91,7520127
92,7405824
93,8188400
94,8820086
95,8391931
96,7652555
97,7464768
98,8846190
99,8580818
100,7729660
