#iteracion,cantidad clocks
1,16157965
2,16082193
3,15505211
4,15744012
5,15658891
6,15717574
7,16209683
8,15209786
9,15601176
10,16313953
11,16962101
12,15675078
13,16068360
14,15956488
15,15999602
16,15581066
17,16179369
18,15682427
19,15494799
20,15985348
21,15799383
22,16264443
23,27623961
24,25734809
25,15799979
26,16005777
27,15747342
28,15741108
29,15718610
30,15997852
31,15913658
32,15909153
33,15513601
34,15864147
35,16010433
36,15908852
37,15279819
38,16313963
39,16146558
40,15700544
41,15267351
42,15546351
43,15772843
44,15982212
45,15867937
46,15114933
47,15856768
48,15826704
49,15686049
50,15259703
51,15605057
52,15435375
53,15495828
54,15927820
55,15477280
56,15816166
57,16026899
58,15915464
59,15391527
60,15417022
61,15757018
62,15459170
63,15878629
64,15699645
65,15997983
66,16073828
67,15830662
68,15503543
69,15738729
70,15531525
71,15918053
72,15689717
73,15764830
74,16244977
75,15216039
76,15731583
77,15526946
78,15659906
79,15924320
80,15730252
81,15806487
82,15683557
83,15803153
84,15887075
85,15874159
86,15765821
87,16052319
88,15849728
89,15622042
90,15739277
91,15507722
92,15686371
93,15564395
94,15484366
95,15704373
96,15551741
97,16348582
98,15602704
99,16240155
100,16245788
