#iteracion,cantidad clocks
1,7949086
2,7554092
3,7808684
4,7685607
5,7563173
6,7541620
7,7885110
8,7804673
9,7651291
10,7348863
11,7685101
12,7486145
13,7697590
14,7685247
15,8005417
16,7713043
17,7695271
18,7597878
19,7434443
20,7619287
21,7503975
22,7654329
23,7327723
24,7695686
25,7495167
26,7847938
27,7556551
28,7625630
29,7538595
30,7760164
31,7818887
32,7546855
33,7705172
34,7593839
35,7605473
36,7733744
37,7487092
38,7590039
39,7549221
40,7545350
41,7589859
42,7419018
43,7397686
44,7676073
45,7575154
46,7448860
47,7668670
48,7426707
49,7701084
50,7552950
51,7545682
52,7690115
53,7702487
54,7942455
55,9312506
56,9452367
57,9116115
58,9020693
59,8530632
60,7529921
61,7738582
62,7573780
63,8718448
64,7813646
65,7977691
66,7657073
67,8265775
68,7634040
69,7828372
70,7737076
71,8115913
72,7596337
73,7796563
74,7703520
75,7783423
76,7996942
77,7787188
78,7605933
79,7532559
80,7755675
81,7776450
82,7480836
83,7613335
84,7571728
85,7620500
86,7499408
87,7502114
88,7628085
89,7881671
90,7679537
91,7617867
92,7514414
93,7326224
94,7748712
95,7383134
96,7474361
97,7610061
98,7854528
99,7629405
100,7599767
