#iteracion,cantidad clocks
1,5165147
2,4260857
3,4960320
4,4535499
5,4415059
6,4223295
7,4746773
8,4490020
9,4502953
10,4595605
11,4373999
12,4289845
13,4629658
14,5454142
15,4362608
16,4363230
17,4609271
18,4808843
19,4357036
20,4337938
21,4637031
22,4338011
23,4217656
24,4308902
25,4760106
26,4353024
27,4655358
28,4949226
29,5082081
30,4215645
31,4181913
32,4565490
33,4343139
34,4173502
35,4173863
36,4927299
37,4698351
38,4163534
39,4800191
40,4559994
41,4381329
42,4197484
43,4619814
44,4851795
45,4125270
46,4108976
47,4152368
48,4585579
49,4953527
50,4172972
51,4743409
52,4203188
53,4108636
54,4561262
55,4802017
56,4225779
57,4208991
58,4277867
59,4489628
60,4241673
61,4292499
62,4715518
63,4271783
64,5613598
65,6483934
66,5463085
67,5127633
68,8521250
69,12426594
70,12555217
71,6713946
72,5081748
73,5089064
74,5286037
75,5102001
76,5046175
77,5245476
78,5104359
79,5085378
80,4700675
81,4279638
82,4389394
83,4195082
84,4265351
85,4392240
86,4194867
87,4366886
88,4165140
89,4222918
90,4204657
91,4453765
92,4547249
93,4344501
94,4220739
95,4386577
96,4099754
97,4279995
98,4262123
99,4353669
100,4484352
