#iteracion,cantidad clocks
1,6087525
2,5146599
3,4810165
4,4880721
5,4723843
6,4513023
7,4576319
8,4449740
9,4968046
10,5125540
11,4660729
12,4518633
13,4488372
14,4658404
15,4434815
16,4494953
17,5410783
18,4586816
19,4496307
20,4549498
21,4700631
22,4442804
23,4390613
24,4880068
25,5304567
26,4404549
27,4553454
28,4493536
29,4488791
30,4525772
31,4994907
32,5171270
33,4856219
34,4647099
35,4449497
36,4390482
37,4390198
38,4625253
39,4513107
40,5616989
41,4875087
42,4626410
43,4511229
44,4390521
45,4610763
46,4496849
47,4759795
48,4741285
49,4393982
50,4475952
51,4541851
52,4563073
53,4431146
54,4431565
55,5573575
56,4697098
57,4469964
58,4581598
59,4498239
60,4473830
61,4492283
62,4673970
63,5300251
64,4737768
65,4823850
66,4608116
67,4489791
68,4397407
69,4688190
70,4520843
71,4506253
72,4583427
73,4620576
74,4610245
75,4398633
76,4729808
77,4510356
78,4875142
79,4764921
80,4773554
81,4432546
82,4399207
83,4808779
84,4462173
85,4397200
86,4907871
87,5025921
88,4547624
89,4428435
90,4695348
91,4543668
92,4567420
93,4561500
94,4913057
95,4657766
96,4837025
97,4578787
98,4401677
99,4397218
100,4640165
