#iteracion,cantidad clocks
1,4544354
2,4205070
3,4563098
4,4195434
5,4276062
6,4193211
7,4552600
8,4213670
9,4282164
10,4190937
11,4183694
12,4183448
13,4303252
14,4211316
15,4205972
16,4246556
17,4219495
18,4159444
19,4537333
20,4357014
21,4172960
22,4088708
23,4216648
24,4349108
25,4197942
26,4130929
27,4183821
28,4347342
29,4238590
30,4492876
31,4234136
32,4297051
33,4145305
34,4150856
35,4430421
36,4267109
37,4196260
38,4181247
39,4302820
40,4201154
41,4085880
42,4547584
43,4275217
44,4133562
45,4184100
46,4578208
47,4268607
48,4091037
49,4205982
50,4264908
51,4167719
52,4190414
53,4184311
54,4263716
55,4173665
56,4171541
57,4187286
58,4552657
59,4236972
60,4171838
61,4189963
62,4242278
63,4145114
64,4142849
65,4187053
66,4271835
67,4131490
68,4183578
69,4517463
70,4186209
71,4132581
72,4184162
73,4346492
74,4215664
75,4212338
76,4086292
77,4584921
78,4250556
79,4187943
80,4261442
81,4403287
82,4404281
83,4188270
84,4401827
85,4602021
86,4194639
87,4183736
88,4515096
89,4194015
90,4187371
91,4251517
92,4407417
93,4256836
94,4187450
95,4252989
96,4468843
97,4311652
98,4200510
99,4335073
100,4193284
