#iteracion,cantidad clocks
1,12134449
2,11500265
3,11768747
4,11950314
5,12134610
6,11442009
7,11981128
8,12144087
9,11602891
10,11514077
11,11623483
12,11464237
13,12319272
14,11822038
15,11699617
16,11299973
17,11887581
18,11664389
19,12248932
20,11423169
21,11621701
22,11551326
23,11887164
24,11434572
25,12336654
26,11599318
27,11792929
28,11409437
29,12075979
30,11721581
31,11886066
32,11824868
33,12389440
34,13029619
35,12367174
36,11825106
37,12941061
38,12636148
39,12405038
40,11490368
41,11871647
42,12647325
43,12369487
44,12107809
45,11849930
46,11494384
47,11354555
48,11591059
49,11483476
50,11601006
51,11649137
52,11427372
53,11588398
54,11417785
55,11467942
56,11540167
57,11462409
58,11587820
59,11516383
60,11724699
61,11543903
62,11436027
63,11581411
64,11501390
65,11455452
66,11444501
67,11550655
68,11442155
69,11487949
70,11553255
71,11528336
72,11335497
73,11529871
74,11637227
75,11602455
76,11456566
77,11580490
78,11559800
79,11716533
80,11500455
81,11758717
82,11676478
83,11622234
84,11494162
85,11551384
86,11636201
87,11562583
88,11710178
89,11568802
90,11599396
91,11595818
92,11548772
93,11666721
94,11399006
95,11615532
96,11603022
97,11541052
98,11658361
99,11560915
100,11541808
