#iteracion,cantidad clocks
1,8365293
2,7711700
3,7963316
4,7844346
5,7816873
6,7699162
7,7816714
8,7874964
9,7823495
10,7842923
11,7432299
12,8329992
13,7493847
14,7732781
15,7649046
16,7854259
17,7788622
18,7722116
19,7548991
20,7796975
21,7963328
22,7751553
23,7651238
24,7677190
25,7953981
26,7760960
27,7622493
28,7761393
29,7581507
30,7986482
31,7870759
32,7663387
33,7713707
34,7732817
35,7835127
36,7626593
37,7608249
38,7812694
39,7671143
40,7610044
41,7739632
42,7658707
43,7779436
44,7468622
45,8191655
46,7756468
47,7761357
48,7465690
49,7750095
50,7953015
51,7711161
52,7745862
53,7734389
54,7660857
55,7703031
56,7501323
57,7737836
58,7606620
59,8185354
60,7764198
61,7690323
62,7666241
63,7630952
64,7690639
65,7562429
66,7727712
67,7781839
68,8087683
69,7752278
70,7790761
71,7669249
72,7909441
73,7540573
74,7709423
75,7488538
76,7499460
77,8149548
78,7817327
79,7497012
80,7759906
81,7746437
82,7960288
83,7747503
84,7632574
85,7621252
86,7958629
87,7544903
88,7740873
89,7732918
90,7607627
91,7688539
92,7644072
93,7707226
94,7623450
95,8252387
96,7663031
97,7753184
98,7468194
99,7810737
100,7745126
