#iteracion,cantidad clocks
1,5369662
2,4521115
3,4424038
4,4660954
5,4460223
6,5031117
7,4614334
8,4401304
9,4537122
10,4887523
11,4671505
12,4454911
13,5770307
14,5731637
15,4785087
16,4573825
17,4597644
18,4586917
19,4460007
20,4402331
21,5630469
22,5556309
23,4483809
24,4637803
25,4463561
26,4450465
27,4582836
28,5431193
29,4511582
30,4403160
31,4675533
32,4476009
33,4403839
34,4545455
35,4992412
36,5523848
37,4788680
38,4646035
39,4411313
40,4588358
41,4614395
42,4415660
43,4861519
44,5238076
45,5607706
46,4601262
47,4548576
48,4541145
49,4596809
50,4408514
51,4668003
52,5386414
53,4955960
54,4609214
55,4537050
56,4435083
57,4496408
58,4600748
59,4469320
60,5284006
61,5632754
62,4658468
63,4553001
64,4614129
65,4542709
66,4496305
67,5378684
68,5327720
69,4721384
70,4601608
71,4763491
72,4580405
73,4462443
74,4769586
75,4929411
76,5275173
77,5556198
78,4701182
79,4586812
80,4727602
81,4776626
82,4965979
83,4915744
84,4807240
85,4573512
86,5042238
87,5227602
88,7675454
89,8568994
90,7811686
91,7907593
92,7424117
93,5823804
94,5807785
95,4808359
96,4600876
97,4796421
98,4536150
99,4521431
100,4526348
