#iteracion,cantidad clocks
1,7749262
2,7406861
3,7479248
4,7211596
5,7418859
6,7025384
7,7249560
8,7119688
9,7060404
10,7305914
11,7051858
12,7348024
13,7113742
14,7131595
15,7138996
16,7007807
17,7295193
18,7183819
19,7236707
20,6957971
21,7099908
22,7297936
23,7336727
24,7188614
25,7526382
26,7087598
27,7331835
28,7294500
29,6928231
30,7307369
31,7039844
32,7327047
33,7049357
34,7065483
35,7139461
36,7170909
37,7293156
38,7249673
39,7216574
40,7089385
41,7233277
42,7286075
43,7089321
44,7168411
45,7236666
46,7228414
47,7301398
48,7170867
49,7125249
50,7115864
51,7183862
52,7355614
53,7221397
54,7113130
55,7110859
56,7097886
57,7407831
58,7268298
59,7211694
60,6987853
61,7364401
62,7231596
63,7189331
64,7098718
65,7167985
66,7159086
67,7284379
68,7186651
69,7175856
70,7212222
71,7345069
72,7308276
73,7147227
74,7192955
75,7185030
76,7168274
77,7431368
78,7017802
79,7113160
80,7053756
81,7400596
82,7128734
83,7301963
84,7136345
85,7982492
86,7364331
87,7109739
88,7254512
89,7402322
90,7326890
91,7405824
92,7297989
93,6929290
94,8254238
95,7206365
96,7300516
97,7121419
98,6946106
99,7347484
100,6981937
