#iteracion,cantidad clocks
1,8013337
2,6920391
3,6823075
4,7134072
5,7463889
6,7406494
7,6792611
8,6886907
9,6878234
10,6714567
11,7150116
12,6835591
13,7100487
14,7043434
15,7502551
16,7255056
17,6924548
18,7047273
19,6707763
20,7156475
21,7310732
22,7144890
23,6834078
24,7064803
25,7012083
26,7423274
27,7081643
28,7083057
29,7019410
30,7138959
31,7159939
32,6785919
33,7252729
34,7039074
35,7127895
36,7369044
37,6725309
38,7074764
39,6799694
40,6893552
41,7152350
42,7026642
43,6977006
44,7171518
45,7050901
46,7399926
47,7125054
48,6892059
49,7052631
50,7369740
51,7423939
52,7224963
53,7461265
54,7127459
55,7071409
56,7601863
57,6989070
58,7411091
59,7048037
60,7109983
61,9196045
62,8847225
63,7113456
64,7195048
65,7153607
66,7144912
67,7407196
68,7037433
69,7864344
70,7074827
71,7397789
72,7283024
73,7277221
74,6976377
75,7452351
76,7090469
77,6974579
78,7100681
79,7093549
80,7012221
81,7639118
82,7043621
83,6842528
84,7052712
85,7099790
86,7375420
87,6938188
88,6994544
89,7124584
90,7023015
91,7387149
92,6786342
93,7010353
94,6789097
95,7005918
96,7079480
97,6796089
98,6946616
99,6887380
100,7038876
