#iteracion,cantidad clocks
1,6046060
2,4639700
3,4433817
4,4418179
5,4644427
6,4475367
7,4343140
8,4469062
9,4823253
10,4310827
11,4308452
12,4524776
13,4427033
14,4376651
15,4555278
16,4811452
17,4605880
18,4461298
19,4578410
20,4307595
21,4358947
22,4416778
23,4679646
24,4764560
25,4546435
26,4476167
27,4417832
28,4440414
29,4516337
30,4514459
31,4558333
32,4835117
33,4550506
34,4361922
35,4300829
36,4446987
37,4733624
38,4384752
39,4308151
40,4938236
41,4512234
42,4372008
43,4300706
44,4503414
45,4432011
46,4423700
47,4454812
48,4965598
49,4450072
50,4476469
51,4476865
52,4408079
53,4437474
54,4513415
55,5054084
56,4597780
57,4315733
58,4565749
59,4539805
60,5587677
61,5485721
62,4490371
63,4464285
64,4457452
65,4560517
66,4417346
67,4487177
68,4605577
69,4799563
70,4939024
71,4446898
72,4607365
73,4425228
74,4423381
75,4539796
76,4559978
77,4957878
78,4635982
79,5021323
80,4537975
81,4625602
82,4700871
83,4710973
84,4810999
85,4841945
86,4558827
87,4680376
88,4533368
89,4551749
90,4813599
91,4611731
92,5115174
93,4976982
94,4705574
95,4968345
96,4625432
97,4992534
98,5050457
99,4542079
100,4735192
