#iteracion,cantidad clocks
1,3951652
2,3781391
3,3671789
4,3669124
5,3743339
6,4003430
7,3693227
8,3716996
9,3986327
10,3735417
11,4051015
12,3744359
13,3662022
14,3654012
15,3842389
16,3999150
17,4133488
18,4137575
19,4118221
20,3677116
21,3659996
22,3667910
23,3775167
24,3648759
25,3735157
26,3672106
27,3752779
28,3673789
29,3663629
30,3732094
31,3720352
32,3746289
33,3727641
34,3656838
35,3653027
36,3734605
37,3660744
38,3650970
39,3674229
40,3667993
41,3657938
42,3655985
43,3654733
44,3651256
45,3713338
46,3609990
47,3569361
48,3568107
49,3708142
50,3658806
51,3621710
52,3566154
53,3568473
54,3720897
55,3660318
56,3568028
57,3565936
58,3684711
59,3661558
60,3604638
61,3675944
62,3647289
63,3764736
64,3641638
65,3569259
66,3566221
67,3698009
68,3680710
69,3567889
70,3565321
71,3596617
72,3575638
73,3570892
74,3567407
75,3566144
76,3619861
77,3575854
78,3569139
79,3568198
80,3588728
81,3572561
82,3566446
83,3569933
84,3568725
85,3591120
86,3575115
87,3567967
88,3566458
89,3614144
90,3575374
91,3569626
92,3568669
93,3567039
94,3598827
95,3627729
96,3656963
97,3622629
98,3672940
99,3661741
100,3615169
