#iteracion,cantidad clocks
1,7417035
2,7092037
3,6932286
4,6934399
5,6997745
6,7115618
7,7376716
8,6977677
9,7013605
10,6928895
11,6956184
12,6933855
13,6926724
14,6981993
15,6927845
16,6951631
17,6917722
18,6978168
19,6926679
20,6931041
21,6949847
22,6922343
23,6950559
24,6928127
25,6978058
26,6935001
27,6926738
28,7235596
29,6930801
30,6981210
31,6920908
32,6963757
33,6929994
34,6929454
35,6987569
36,6952657
37,6952702
38,6930713
39,6948204
40,6928506
41,6972166
42,6941859
43,6926899
44,7175701
45,6933798
46,7198965
47,7045072
48,7085120
49,7108230
50,7068330
51,7290063
52,7382890
53,7258290
54,7115760
55,7177527
56,7258358
57,7305818
58,7205751
59,7242757
60,7244410
61,7112838
62,7330351
63,7090523
64,7342049
65,7300929
66,7226614
67,7137688
68,7199474
69,7223316
70,7566781
71,7215934
72,7133132
73,7356636
74,7182667
75,7144471
76,6984339
77,7203298
78,7105368
79,7172038
80,7144512
81,7095900
82,7173095
83,7093066
84,7228688
85,7210723
86,7157502
87,7024054
88,7052780
89,7071932
90,7000178
91,7155972
92,6965152
93,6998271
94,6931861
95,6983045
96,6931066
97,6925390
98,6986602
99,6926342
100,7150727
