#iteracion,cantidad clocks
1,4880080
2,4623742
3,4810270
4,4719021
5,4621940
6,4738167
7,4781628
8,4745660
9,4821587
10,4785872
11,4744355
12,4732832
13,4819887
14,4763936
15,4735674
16,4784253
17,4704303
18,4626121
19,4616966
20,4884302
21,4750870
22,4655275
23,4728916
24,4641742
25,4620708
26,4629597
27,4657115
28,4628599
29,4629520
30,4644425
31,4635073
32,4630645
33,4614634
34,4681586
35,4633141
36,4616728
37,4653654
38,4636902
39,4621152
40,4623732
41,4860370
42,4687341
43,4656327
44,4663248
45,4630302
46,4615537
47,4644785
48,4630489
49,4618255
50,4621703
51,4672930
52,4638270
53,4626456
54,4645933
55,4636159
56,4625099
57,4613439
58,4642739
59,4625422
60,4620675
61,4661112
62,4639132
63,4615225
64,4621760
65,4719409
66,4646868
67,4615179
68,4673150
69,4635086
70,4627710
71,4638764
72,4648287
73,4621032
74,4615997
75,4642651
76,4686169
77,4677377
78,4688348
79,4787284
80,4668927
81,4721742
82,4813515
83,4623523
84,4619180
85,4800551
86,4777164
87,4634973
88,4624244
89,4858275
90,4717078
91,5615967
92,6348872
93,5947446
94,5504068
95,5623294
96,5729899
97,5684117
98,5431016
99,4724504
100,5072819
