#iteracion,cantidad clocks
1,3611247
2,3480986
3,3550289
4,3486395
5,3477732
6,4135617
7,3592217
8,3596622
9,3486215
10,3472015
11,3471737
12,3539605
13,3482833
14,3487606
15,3476468
16,3472855
17,3573967
18,3486807
19,3473300
20,3471789
21,3471849
22,3529705
23,3479340
24,3471827
25,3471740
26,3494560
27,3480385
28,3473570
29,3472732
30,3471125
31,3666014
32,3568648
33,3472002
34,3468446
35,3496598
36,3480660
37,3473546
38,3472002
39,3483500
40,3498068
41,3476986
42,3472725
43,3471413
44,3517526
45,3478548
46,3477568
47,3491723
48,3578053
49,3584843
50,3482428
51,3473999
52,3474171
53,3472971
54,3525591
55,3481092
56,3474007
57,3472837
58,3495207
59,3481528
60,3488338
61,3477326
62,3472983
63,3523149
64,3482076
65,3474040
66,3472724
67,3495609
68,3479540
69,3476733
70,3473670
71,3473260
72,3729199
73,3596897
74,3481591
75,3503404
76,3476946
77,3539908
78,3477317
79,3471994
80,3472245
81,3520444
82,3481063
83,3473925
84,3472002
85,3471443
86,3494701
87,3479537
88,3471998
89,3472468
90,3592918
91,3564831
92,3541817
93,3471285
94,3472055
95,3495940
96,3478738
97,3472448
98,3471874
99,3708846
100,3627672
