#iteracion,cantidad clocks
1,4940777
2,4813057
3,4859474
4,4779092
5,4678606
6,4679090
7,4860726
8,4748376
9,4676339
10,4845169
11,4790080
12,4679391
13,4831852
14,4772206
15,4678023
16,4676380
17,4842374
18,4763297
19,4752718
20,4878394
21,4683405
22,4677938
23,4676070
24,4740737
25,4681645
26,4820317
27,4835361
28,4711117
29,4679428
30,4729063
31,4683013
32,4680537
33,4678589
34,4696923
35,4680067
36,4675246
37,4696503
38,4682062
39,4678248
40,4675678
41,4727037
42,4680394
43,4680352
44,4697003
45,4679534
46,4675027
47,4698800
48,4681671
49,4694328
50,4678230
51,4742685
52,4682768
53,4676091
54,4699036
55,4681759
56,4674728
57,4677252
58,4742248
59,4681618
60,4675513
61,4696817
62,4682027
63,4677767
64,4678665
65,4699994
66,4683088
67,4679354
68,4724870
69,4685130
70,4677602
71,4753221
72,4871017
73,4689238
74,4831245
75,4901445
76,4774329
77,4676960
78,4820480
79,4793044
80,4680952
81,4775889
82,4827343
83,4717350
84,4795695
85,4876072
86,4771771
87,4815624
88,4939397
89,4798685
90,4791823
91,4826217
92,4813067
93,4681034
94,4761080
95,4882417
96,4836295
97,4825967
98,4882745
99,4843864
100,4808240
