#iteracion,cantidad clocks
1,2531487
2,2262361
3,2196917
4,2196597
5,2202428
6,2274013
7,2246029
8,2362375
9,2321393
10,2226565
11,2195202
12,2196542
13,2196024
14,2195824
15,2363117
16,2257222
17,2266969
18,2196428
19,2195878
20,2196438
21,2329156
22,2326037
23,2252998
24,2246294
25,2245914
26,2245643
27,2246015
28,2246114
29,2428207
30,2264263
31,2223586
32,2196010
33,2196837
34,2195607
35,2195965
36,2356029
37,2254636
38,2249777
39,2231185
40,2196523
41,2196978
42,2196018
43,2255058
44,2203370
45,2199855
46,2195821
47,2196279
48,2196128
49,2196191
50,2196242
51,2257241
52,2201886
53,2465770
54,2263359
55,2267816
56,2195947
57,2195523
58,2290145
59,2324133
60,2203346
61,2195955
62,2195582
63,2196597
64,2195448
65,2330716
66,2258835
67,2276107
68,2194251
69,2195372
70,2195651
71,2195232
72,2252919
73,2201999
74,2198409
75,2195195
76,2196051
77,2194750
78,2195135
79,2279016
80,2205250
81,2199181
82,2195636
83,2196146
84,2195205
85,2195446
86,2195370
87,2225824
88,2199272
89,2247843
90,2204673
91,2197816
92,2195563
93,2195743
94,2221239
95,2201994
96,2196696
97,2195596
98,2196001
99,2196505
100,2195209
