#iteracion,cantidad clocks
1,4971762
2,4571190
3,4323536
4,4259975
5,4320519
6,4502044
7,4632064
8,4324259
9,4345170
10,4265636
11,4264122
12,4264690
13,4323079
14,4264224
15,4264738
16,4288770
17,4264768
18,4265084
19,4264916
20,4287378
21,4264484
22,4353878
23,4265811
24,4319967
25,4268555
26,4267401
27,4265126
28,4348299
29,4266476
30,4266253
31,4288263
32,4265826
33,4280195
34,4265763
35,4316978
36,4265184
37,4265100
38,4265240
39,4288244
40,4265196
41,4265051
42,4264841
43,4319537
44,4265788
45,4264883
46,4287306
47,4264966
48,4265583
49,4264981
50,4285937
51,4264975
52,4265440
53,4265405
54,4312928
55,4264988
56,4266165
57,4265729
58,4326325
59,4265615
60,4265126
61,4313955
62,4267500
63,4265053
64,4265286
65,4296834
66,4264770
67,4265640
68,4264951
69,4285587
70,4309551
71,4361658
72,4304816
73,4480373
74,4334160
75,4293713
76,4410396
77,4426112
78,4282409
79,4273985
80,4684804
81,4422980
82,4637918
83,4513402
84,4386447
85,4493292
86,4391353
87,4527231
88,4458464
89,4508730
90,4446195
91,4680411
92,4480946
93,4364921
94,4549246
95,4380763
96,5594335
97,5205663
98,4699777
99,4536357
100,4659852
