#iteracion,cantidad clocks
1,4126469
2,4057433
3,3977029
4,3972256
5,3971453
6,4063178
7,3979153
8,3971697
9,3971796
10,4034351
11,3922897
12,3881460
13,3880963
14,4044576
15,4000725
16,3882762
17,3881118
18,4193878
19,3976801
20,3884241
21,3881324
22,3951190
23,3889744
24,3884089
25,3956189
26,4071269
27,3947989
28,3882434
29,3880556
30,3939937
31,3886183
32,3882871
33,3933139
34,4017011
35,3981357
36,3935741
37,3879852
38,3904255
39,3886135
40,3882838
41,3878969
42,3880462
43,3905698
44,3894967
45,3881451
46,3879711
47,3931366
48,3886108
49,3880364
50,3880836
51,3905338
52,3885446
53,3881052
54,3880376
55,3903097
56,3885365
57,3881336
58,3880264
59,3928399
60,3887097
61,3882958
62,3881139
63,3902054
64,3885076
65,3882878
66,3881220
67,3900867
68,3885257
69,3964012
70,3890063
71,3961188
72,3887548
73,3884327
74,3880226
75,3880125
76,3907693
77,3884601
78,3880108
79,3879566
80,3906924
81,3884757
82,3880440
83,3893779
84,3935111
85,3885420
86,3880796
87,3880205
88,3906668
89,3886561
90,3952963
91,3993848
92,4062151
93,3996110
94,3882462
95,3880493
96,3981930
97,3998302
98,3882544
99,3879987
100,4017876
